-------------------------------
T_j^H 	 T_j^L 	 CC_i'
-------------------------------
10 	 12 	 539
10 	 13 	 555
11 	 13 	 574
10 	 14 	 570
11 	 14 	 590
12 	 14 	 610
10 	 15 	 580
11 	 15 	 600
12 	 15 	 620
13 	 15 	 635
10 	 16 	 590
11 	 16 	 610
12 	 16 	 629
13 	 16 	 645
14 	 16 	 660
10 	 17 	 600
11 	 17 	 620
12 	 17 	 639
13 	 17 	 655
14 	 17 	 670
15 	 17 	 680
10 	 18 	 610
11 	 18 	 629
12 	 18 	 649
13 	 18 	 664
14 	 18 	 680
15 	 18 	 689
16 	 18 	 699
10 	 19 	 614
11 	 19 	 635
12 	 19 	 655
13 	 19 	 670
14 	 19 	 684
15 	 19 	 695
16 	 19 	 705
17 	 19 	 715
10 	 20 	 624
11 	 20 	 645
12 	 20 	 664
13 	 20 	 680
14 	 20 	 695
15 	 20 	 705
16 	 20 	 715
17 	 20 	 725
18 	 20 	 735
10 	 21 	 629
11 	 21 	 649
12 	 21 	 670
13 	 21 	 684
14 	 21 	 699
15 	 21 	 709
16 	 21 	 719
17 	 21 	 729
18 	 21 	 739
19 	 21 	 745
10 	 22 	 635
11 	 22 	 655
12 	 22 	 674
13 	 22 	 689
14 	 22 	 705
15 	 22 	 715
16 	 22 	 725
17 	 22 	 735
18 	 22 	 745
19 	 22 	 749
20 	 22 	 760
10 	 23 	 639
11 	 23 	 660
12 	 23 	 680
13 	 23 	 695
14 	 23 	 709
15 	 23 	 719
16 	 23 	 729
17 	 23 	 739
18 	 23 	 749
19 	 23 	 754
20 	 23 	 764
21 	 23 	 770
10 	 24 	 645
11 	 24 	 664
12 	 24 	 684
13 	 24 	 699
14 	 24 	 715
15 	 24 	 725
16 	 24 	 735
17 	 24 	 745
18 	 24 	 754
19 	 24 	 760
20 	 24 	 770
21 	 24 	 774
22 	 24 	 780
10 	 25 	 649
11 	 25 	 670
12 	 25 	 689
13 	 25 	 705
14 	 25 	 719
15 	 25 	 729
16 	 25 	 739
17 	 25 	 749
18 	 25 	 760
19 	 25 	 764
20 	 25 	 774
21 	 25 	 780
22 	 25 	 785
23 	 25 	 789
10 	 26 	 649
11 	 26 	 670
12 	 26 	 689
13 	 26 	 705
14 	 26 	 719
15 	 26 	 729
16 	 26 	 739
17 	 26 	 749
18 	 26 	 760
19 	 26 	 764
20 	 26 	 774
21 	 26 	 780
22 	 26 	 785
23 	 26 	 789
24 	 26 	 795
10 	 27 	 655
11 	 27 	 674
12 	 27 	 695
13 	 27 	 709
14 	 27 	 725
15 	 27 	 735
16 	 27 	 745
17 	 27 	 754
18 	 27 	 764
19 	 27 	 770
20 	 27 	 780
21 	 27 	 785
22 	 27 	 789
23 	 27 	 795
24 	 27 	 799
25 	 27 	 805
10 	 28 	 660
11 	 28 	 680
12 	 28 	 699
13 	 28 	 715
14 	 28 	 729
15 	 28 	 739
16 	 28 	 749
17 	 28 	 760
18 	 28 	 770
19 	 28 	 774
20 	 28 	 785
21 	 28 	 789
22 	 28 	 795
23 	 28 	 799
24 	 28 	 805
25 	 28 	 809
26 	 28 	 809
10 	 29 	 660
11 	 29 	 680
12 	 29 	 699
13 	 29 	 715
14 	 29 	 729
15 	 29 	 739
16 	 29 	 749
17 	 29 	 760
18 	 29 	 770
19 	 29 	 774
20 	 29 	 785
21 	 29 	 789
22 	 29 	 795
23 	 29 	 799
24 	 29 	 805
25 	 29 	 809
26 	 29 	 809
27 	 29 	 814
10 	 30 	 664
11 	 30 	 684
12 	 30 	 705
13 	 30 	 719
14 	 30 	 735
15 	 30 	 745
16 	 30 	 754
17 	 30 	 764
18 	 30 	 774
19 	 30 	 780
20 	 30 	 789
21 	 30 	 795
22 	 30 	 799
23 	 30 	 805
24 	 30 	 809
25 	 30 	 814
26 	 30 	 814
27 	 30 	 820
28 	 30 	 824
10 	 31 	 664
11 	 31 	 686
12 	 31 	 705
13 	 31 	 721
14 	 31 	 735
15 	 31 	 745
16 	 31 	 754
17 	 31 	 764
18 	 31 	 774
19 	 31 	 780
20 	 31 	 789
21 	 31 	 795
22 	 31 	 799
23 	 31 	 805
24 	 31 	 809
25 	 31 	 814
26 	 31 	 814
27 	 31 	 820
28 	 31 	 824
29 	 31 	 824
10 	 32 	 670
11 	 32 	 689
12 	 32 	 709
13 	 32 	 725
14 	 32 	 739
15 	 32 	 749
16 	 32 	 760
17 	 32 	 770
18 	 32 	 780
19 	 32 	 785
20 	 32 	 795
21 	 32 	 799
22 	 32 	 805
23 	 32 	 809
24 	 32 	 814
25 	 32 	 820
26 	 32 	 820
27 	 32 	 824
28 	 32 	 830
29 	 32 	 830
30 	 32 	 834
10 	 33 	 670
11 	 33 	 689
12 	 33 	 709
13 	 33 	 725
14 	 33 	 739
15 	 33 	 749
16 	 33 	 760
17 	 33 	 770
18 	 33 	 780
19 	 33 	 785
20 	 33 	 795
21 	 33 	 799
22 	 33 	 805
23 	 33 	 809
24 	 33 	 814
25 	 33 	 820
26 	 33 	 820
27 	 33 	 824
28 	 33 	 830
29 	 33 	 830
30 	 33 	 834
31 	 33 	 834
10 	 34 	 674
11 	 34 	 695
12 	 34 	 715
13 	 34 	 729
14 	 34 	 745
15 	 34 	 754
16 	 34 	 764
17 	 34 	 774
18 	 34 	 785
19 	 34 	 789
20 	 34 	 799
21 	 34 	 805
22 	 34 	 809
23 	 34 	 814
24 	 34 	 820
25 	 34 	 824
26 	 34 	 824
27 	 34 	 830
28 	 34 	 834
29 	 34 	 834
30 	 34 	 840
31 	 34 	 840
32 	 34 	 844
10 	 35 	 674
11 	 35 	 695
12 	 35 	 715
13 	 35 	 729
14 	 35 	 745
15 	 35 	 754
16 	 35 	 764
17 	 35 	 774
18 	 35 	 785
19 	 35 	 789
20 	 35 	 799
21 	 35 	 805
22 	 35 	 809
23 	 35 	 814
24 	 35 	 820
25 	 35 	 824
26 	 35 	 824
27 	 35 	 830
28 	 35 	 834
29 	 35 	 834
30 	 35 	 840
31 	 35 	 840
32 	 35 	 844
33 	 35 	 844
10 	 36 	 680
11 	 36 	 699
12 	 36 	 719
13 	 36 	 735
14 	 36 	 749
15 	 36 	 760
16 	 36 	 770
17 	 36 	 780
18 	 36 	 789
19 	 36 	 795
20 	 36 	 805
21 	 36 	 809
22 	 36 	 814
23 	 36 	 820
24 	 36 	 824
25 	 36 	 830
26 	 36 	 830
27 	 36 	 834
28 	 36 	 840
29 	 36 	 840
30 	 36 	 844
31 	 36 	 844
32 	 36 	 850
33 	 36 	 850
34 	 36 	 854
10 	 37 	 680
11 	 37 	 699
12 	 37 	 719
13 	 37 	 735
14 	 37 	 749
15 	 37 	 760
16 	 37 	 770
17 	 37 	 780
18 	 37 	 789
19 	 37 	 795
20 	 37 	 805
21 	 37 	 809
22 	 37 	 814
23 	 37 	 820
24 	 37 	 824
25 	 37 	 830
26 	 37 	 830
27 	 37 	 834
28 	 37 	 840
29 	 37 	 840
30 	 37 	 844
31 	 37 	 844
32 	 37 	 850
33 	 37 	 850
34 	 37 	 854
35 	 37 	 854
10 	 38 	 680
11 	 38 	 699
12 	 38 	 719
13 	 38 	 735
14 	 38 	 749
15 	 38 	 760
16 	 38 	 770
17 	 38 	 780
18 	 38 	 789
19 	 38 	 795
